"Time","proxy-server-6c7d596b95-28skc / default / PKG","yolo-server-798f5c5578-ll75h / default / PKG","proxy-server-6c7d596b95-28skc / default / DRAM","yolo-server-798f5c5578-ll75h / default / DRAM","proxy-server-6c7d596b95-28skc / default / OTHER","yolo-server-798f5c5578-ll75h / default / OTHER","proxy-server-6c7d596b95-28skc / default / GPU","yolo-server-798f5c5578-ll75h / default / GPU"
2024-07-09 21:47:25,0,0,0,0,0,0,0,0
2024-07-09 21:47:26,0,0,0,0,0,0,0,0
2024-07-09 21:47:27,0,0,0,0,0,0,0,0
2024-07-09 21:47:28,0,0,0,0,0,0,0,0
2024-07-09 21:47:29,0,0,0,0,0,0,0,0
2024-07-09 21:47:30,0,0,0,0,0,0,0,0
2024-07-09 21:47:31,0,0,0,0,0,0,0,0
2024-07-09 21:47:32,0,0,0,0,0,0,0,0
2024-07-09 21:47:33,0,0,0,0,0,0,0,0
2024-07-09 21:47:34,0,0,0,0,0,0,0,0
2024-07-09 21:47:35,0,0,0,0,0,0,0,0
2024-07-09 21:47:36,0,0,0,0,0,0,0,0
2024-07-09 21:47:37,0.405,16.2,0,0,0,0,0,0
2024-07-09 21:47:38,0,0,0,0,0,0,0,0
2024-07-09 21:47:39,0,0,0,0,0,0,0,0
2024-07-09 21:47:40,0.495,17.8,0,0,0,0,0,0
2024-07-09 21:47:41,0,0,0,0,0,0,0,0
2024-07-09 21:47:42,0,0,0,0,0,0,0,0
2024-07-09 21:47:43,0.462,12.8,0,0,0,0,0,0
2024-07-09 21:47:44,0,0,0,0,0,0,0,0
2024-07-09 21:47:45,0,0,0,0,0,0,0,0
2024-07-09 21:47:46,0.387,14.8,0,0,0,0,0,0
2024-07-09 21:47:47,0,0,0,0,0,0,0,0
2024-07-09 21:47:48,0,0,0,0,0,0,0,0
2024-07-09 21:47:49,0.510,15.6,0,0,0,0,0,0
2024-07-09 21:47:50,0,0,0,0,0,0,0,0
2024-07-09 21:47:51,0,0,0,0,0,0,0,0
2024-07-09 21:47:52,0.396,14.7,0,0,0,0,0,0
2024-07-09 21:47:53,0,0,0,0,0,0,0,0
2024-07-09 21:47:54,0,0,0,0,0,0,0,0
2024-07-09 21:47:55,0.447,17.0,0,0,0,0,0,0
2024-07-09 21:47:56,0,0,0,0,0,0,0,0
2024-07-09 21:47:57,0,0,0,0,0,0,0,0
2024-07-09 21:47:58,0.387,16.4,0,0,0,0,0,0
2024-07-09 21:47:59,0,0,0,0,0,0,0,0
2024-07-09 21:48:00,0,0,0,0,0,0,0,0
2024-07-09 21:48:01,0.426,17.1,0,0,0,0,0,0
2024-07-09 21:48:02,0,0,0,0,0,0,0,0
2024-07-09 21:48:03,0,0,0,0,0,0,0,0
2024-07-09 21:48:04,0.375,13.5,0,0,0,0,0,0
2024-07-09 21:48:05,0,0,0,0,0,0,0,0
2024-07-09 21:48:06,0,0,0,0,0,0,0,0
2024-07-09 21:48:07,0.372,14.9,0,0,0,0,0,0
2024-07-09 21:48:08,0,0,0,0,0,0,0,0
2024-07-09 21:48:09,0,0,0,0,0,0,0,0
2024-07-09 21:48:10,0.429,13.6,0,0,0,0,0,0
2024-07-09 21:48:11,0,0,0,0,0,0,0,0
2024-07-09 21:48:12,0,0,0,0,0,0,0,0
2024-07-09 21:48:13,0.348,14.9,0,0,0,0,0,0
2024-07-09 21:48:14,0,0,0,0,0,0,0,0
2024-07-09 21:48:15,0,0,0,0,0,0,0,0
2024-07-09 21:48:16,0.399,14.1,0,0,0,0,0,0
2024-07-09 21:48:17,0,0,0,0,0,0,0,0
2024-07-09 21:48:18,0,0,0,0,0,0,0,0
2024-07-09 21:48:19,0.321,15.9,0,0,0,0,0,0
2024-07-09 21:48:20,0,0,0,0,0,0,0,0
2024-07-09 21:48:21,0,0,0,0,0,0,0,0
2024-07-09 21:48:22,0.468,15.1,0,0,0,0,0,0
2024-07-09 21:48:23,0,0,0,0,0,0,0,0
2024-07-09 21:48:24,0,0,0,0,0,0,0,0
2024-07-09 21:48:25,0.465,16.0,0,0,0,0,0,0
2024-07-09 21:48:26,0,0,0,0,0,0,0,0
2024-07-09 21:48:27,0,0,0,0,0,0,0,0
2024-07-09 21:48:28,0.390,15.2,0,0,0,0,0,0
2024-07-09 21:48:29,0,0,0,0,0,0,0,0
2024-07-09 21:48:30,0,0,0,0,0,0,0,0
2024-07-09 21:48:31,0.474,13.2,0,0,0,0,0,0
2024-07-09 21:48:32,0,0,0,0,0,0,0,0
2024-07-09 21:48:33,0,0,0,0,0,0,0,0
2024-07-09 21:48:34,0.396,11.5,0,0,0,0,0,0
2024-07-09 21:48:35,0,0,0,0,0,0,0,0
2024-07-09 21:48:36,0,0,0,0,0,0,0,0
2024-07-09 21:48:37,0.444,16.9,0,0,0,0,0,0
2024-07-09 21:48:38,0,0,0,0,0,0,0,0
2024-07-09 21:48:39,0,0,0,0,0,0,0,0
2024-07-09 21:48:40,0.420,13.2,0,0,0,0,0,0
2024-07-09 21:48:41,0,0,0,0,0,0,0,0
2024-07-09 21:48:42,0,0,0,0,0,0,0,0
